order_id,shipping_limit_date,order_delivered_carrier_date,late_delivery,delay_days
005e5166e99d1e4d0c4f808b0540ba94,2018-03-01 02:09:02,2018-03-08 01:10:21,True,6.0
005f25968fc854ea16fb16f5bdbc87c7,2018-03-08 14:50:50,2018-03-08 17:27:24,True,0.0
006f7dfffe2d90809598e8f1972b829b,2018-03-28 23:07:23,2018-03-31 14:18:55,True,2.0
0071ee2429bc1efdc43aa3e073a5290e,2018-01-26 14:17:41,2018-01-26 15:12:17,True,0.0
0094bd07f49fed90209ffa62d1ef26d6,2018-05-09 04:12:53,2018-05-10 19:19:00,True,1.0
009742b43f4530bc3db7f62332c50f4b,2017-11-01 03:09:33,2017-11-28 01:46:49,True,26.0
00995d799817ecc3bd2abd8fbe59c430,2018-08-01 11:45:13,2018-08-01 14:05:00,True,0.0
00a379dfab816a83741012b71b264098,2018-08-07 20:04:20,2018-08-09 13:32:00,True,1.0
00ab210695a17fe10e6b23616ae5bc97,2018-06-18 06:30:53,2018-06-18 11:01:00,True,0.0
00b30bb163474583c14db1689259cf4d,2018-02-06 14:13:31,2018-02-06 17:47:50,True,0.0
00bf1320ffb5fe47a845feca16c0e0b4,2017-10-04 15:49:42,2017-10-17 21:52:13,True,13.0
00c00d5b36157595e21108ba1da2828f,2017-09-19 03:25:43,2017-09-28 13:11:45,True,9.0
00c00d5b36157595e21108ba1da2828f,2017-09-19 03:25:43,2017-09-28 13:11:45,True,9.0
00c842d0ae6462afc1d38fc055b02c75,2017-11-14 17:55:27,2017-11-16 18:42:49,True,2.0
00d03eb3425f41a599ae2f788e23c07f,2017-02-22 16:46:42,2017-02-24 14:16:35,True,1.0
00d50baf1bc56a3c59de1810a6b84b0d,2017-05-29 22:10:12,2017-06-01 11:55:31,True,2.0
00d50baf1bc56a3c59de1810a6b84b0d,2017-05-29 22:10:12,2017-06-01 11:55:31,True,2.0
00dc6ad47477b3b62d3c0acbe98a82a4,2018-03-01 20:20:25,2018-03-02 17:57:11,True,0.0
00e054d0da011d5016f31011af488f4f,2018-03-15 20:08:42,2018-04-27 17:50:00,True,42.0
